Country Name,Country Code,Series Name,Series Code,Time,Time Code,Value
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,1576.817669
India,IND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,68.01380488
India,IND,"Population, total",SP.POP.TOTL,2014,YR2014,1295291543
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,3499.588735
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,68.8884878
Indonesia,IDN,"Population, total",SP.POP.TOTL,2014,YR2014,254454778
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,5442.874771
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.38931707
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,2014,YR2014,78143644
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,6484.529337
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,69.39968293
Iraq,IRQ,"Population, total",SP.POP.TOTL,2014,YR2014,35273293
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,55503.32726
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,81.15365854
Ireland,IRL,"Population, total",SP.POP.TOTL,2014,YR2014,4617225
Isle of Man,IMY,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,85258.07616
Isle of Man,IMY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,NA
Isle of Man,IMY,"Population, total",SP.POP.TOTL,2014,YR2014,87127
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,37582.84624
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,82.15365854
Israel,ISR,"Population, total",SP.POP.TOTL,2014,YR2014,8215700
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,35365.10412
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,82.6902439
Italy,ITA,"Population, total",SP.POP.TOTL,2014,YR2014,60789140
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,YR2014,5108.357038
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2014,YR2014,75.6535122
